prompt_id,raw_prompt,domain,task_type,expected_mode,complexity_level,ambiguity_level,expected_output_style,notes
P001,"Explain artificial intelligence in simple terms for a beginner.","General","Explain","Context","Low","Low","Paragraph","Tests simple concept explanation."
P002,"Describe the difference between AI, machine learning, and deep learning.","General","Explain","Context","Medium","Medium","Table","Requires distinction between related terms."
P003,"Give me a clear overview of cloud computing and its benefits.","General","Explain","Context","Medium","Low","Bullets","Benefits should be structured."
P004,"What is cybersecurity and why is it important?","General","Explain","Context","Low","Low","Paragraph","Basic explanatory prompt."
P005,"Explain how the internet works in easy language.","General","Explain","Context","Medium","Low","Steps","Needs simple step-wise explanation."
P006,"Tell me about renewable energy sources.","General","Generate","Context","Low","Medium","Bullets","Broad topic benefits from structure."
P007,"Explain the importance of time management for students.","General","Generate","Context","Low","Low","Paragraph","General advisory content."
P008,"Give a short explanation of blockchain technology.","General","Explain","Cost","Medium","Low","Short paragraph","Cost mode should keep concise."
P009,"What are the advantages and disadvantages of online learning?","General","Analyze","Context","Medium","Low","Table","Requires balanced comparison."
P010,"Explain the concept of digital transformation in business.","General","Explain","Context","Medium","Medium","Bullets","Needs business context."
P011,"Summarize the role of technology in modern education.","General","Summarize","Cost","Low","Low","Bullets","Tests compact summary."
P012,"Create a simple guide for improving personal productivity.","General","Generate","Context","Medium","Medium","Steps","Needs actionable structure."
P013,"Explain the difference between data privacy and data security.","General","Explain","Context","Medium","Medium","Table","Requires precise distinction."
P014,"Write a short note on sustainable development.","General","Generate","Cost","Low","Low","Short paragraph","Common academic short note."
P015,"Explain why communication skills are important in the workplace.","General","Explain","Context","Low","Low","Bullets","Needs practical examples."
P016,"List the main causes of climate change in simple terms.","General","List","Cost","Low","Low","Bullets","Concise list expected."
P017,"Explain how social media affects society.","General","Analyze","Context","Medium","High","Structured paragraphs","Broad and slightly ambiguous."
P018,"Describe the basic idea of the Internet of Things.","General","Explain","Context","Medium","Low","Paragraph","Technical general explanation."
P019,"Give a beginner-friendly explanation of virtual reality.","General","Explain","Context","Low","Low","Paragraph","Simple explanation target."
P020,"Explain what automation means with examples.","General","Explain","Context","Low","Low","Examples","Should include examples."
P021,"Compare traditional shopping and online shopping.","General","Compare","Context","Low","Low","Table","Comparison prompt."
P022,"Explain the importance of teamwork in project success.","General","Explain","Context","Low","Low","Bullets","Workplace topic."
P023,"Write a brief explanation of smart cities.","General","Explain","Cost","Medium","Low","Short paragraph","Cost-friendly concept explanation."
P024,"Explain how mobile apps have changed daily life.","General","Explain","Context","Low","Medium","Paragraph","Needs everyday examples."
P025,"Give a concise overview of digital payments.","General","Explain","Cost","Low","Low","Short paragraph","Tests concise output."
P026,"Explain photosynthesis to a class 8 student.","Education","Explain","Context","Low","Low","Steps","Audience-specific explanation."
P027,"Teach the concept of fractions with a simple example.","Education","Explain","Context","Low","Low","Example","Needs educational structure."
P028,"Explain Newton's first law using a real-life example.","Education","Explain","Context","Medium","Low","Example","Physics concept with analogy."
P029,"Create a study plan for preparing for semester exams in 30 days.","Education","Generate","Context","Medium","Medium","Table","Action plan needed."
P030,"Summarize the causes of the French Revolution for students.","Education","Summarize","Cost","Medium","Low","Bullets","Academic summary."
P031,"Explain the water cycle in simple steps.","Education","Explain","Context","Low","Low","Steps","Science learning prompt."
P032,"Help me understand recursion using a simple analogy.","Education","Explain","Context","Medium","Medium","Analogy","Abstract concept."
P033,"Explain the difference between speed and velocity.","Education","Explain","Context","Medium","Medium","Table","Precise distinction required."
P034,"Create five quiz questions on basic computer networks.","Education","Generate","Context","Low","Low","Numbered list","Question generation."
P035,"Explain demand and supply with a market example.","Education","Explain","Context","Medium","Low","Example","Economics explanation."
P036,"Write notes on the digestive system for quick revision.","Education","Generate","Cost","Medium","Low","Bullets","Revision-oriented."
P037,"Explain object-oriented programming to a beginner.","Education","Explain","Context","Medium","Medium","Bullets","Technical education prompt."
P038,"Create a lesson outline for teaching renewable energy.","Education","Generate","Context","Medium","Low","Outline","Teacher-style output."
P039,"Explain the difference between mean, median, and mode.","Education","Explain","Context","Low","Low","Table","Math statistics basics."
P040,"Summarize the chapter on database management systems.","Education","Summarize","Cost","Medium","High","Bullets","Vague source but useful for optimization."
P041,"Explain the Pythagorean theorem with an example.","Education","Solve","Context","Medium","Low","Steps","Math explanation."
P042,"Make a revision checklist for machine learning basics.","Education","Generate","Context","Medium","Low","Checklist","Structured study support."
P043,"Explain operating system process scheduling in simple words.","Education","Explain","Context","Medium","Medium","Bullets","Computer science concept."
P044,"Give a short explanation of chemical bonding.","Education","Explain","Cost","Medium","Low","Short paragraph","Concise science explanation."
P045,"Create a project presentation outline on artificial intelligence.","Education","Generate","Context","Medium","Low","Outline","Presentation structure."
P046,"Explain the difference between supervised and unsupervised learning.","Education","Explain","Context","Medium","Low","Table","ML distinction."
P047,"Write a brief note on environmental pollution for exams.","Education","Generate","Cost","Low","Low","Short paragraph","Academic short answer."
P048,"Explain binary search with a small example.","Education","Explain","Context","Medium","Low","Steps","Algorithm concept."
P049,"Create a timetable for balancing college study and project work.","Education","Generate","Context","Medium","Medium","Table","Planning prompt."
P050,"Explain database normalization with a practical example.","Education","Explain","Context","High","Medium","Example","Requires technical clarity."
P051,"Optimize this Python function for performance while keeping it readable.","Coding","Optimize","Context","Medium","High","Code plus explanation","Input lacks code but tests prompt clarification."
P052,"Explain how to fix a null pointer exception in Java.","Coding","Explain","Context","Medium","Medium","Steps","Debugging guidance."
P053,"Write a Python program to check whether a number is prime.","Coding","Generate","Context","Low","Low","Code","Basic code generation."
P054,"Create a REST API endpoint in Flask for user login.","Coding","Generate","Context","Medium","Medium","Code","Framework-specific prompt."
P055,"Explain the difference between list and tuple in Python.","Coding","Explain","Cost","Low","Low","Table","Concise comparison."
P056,"Debug why my SQL query is returning duplicate rows.","Coding","Debug","Context","Medium","High","Checklist","Ambiguous debugging scenario."
P057,"Write JavaScript code to validate an email field.","Coding","Generate","Context","Low","Low","Code","Simple frontend code."
P058,"Explain time complexity of binary search.","Coding","Explain","Context","Medium","Low","Steps","Algorithm analysis."
P059,"Create a basic HTML form for student registration.","Coding","Generate","Context","Low","Low","Code","Frontend generation."
P060,"Rewrite this code to follow clean coding practices.","Coding","Rewrite","Context","Medium","High","Code review checklist","Missing code makes prompt ambiguous."
P061,"Explain how JWT authentication works.","Coding","Explain","Context","Medium","Medium","Bullets","Backend security concept."
